"variable","archetype","catch","country"
"Benthic","4",1561.596187,"Kenya"
"Nearshore coastal","1",565.6582171436,"Kenya"
"Pelagic","5",5788.29243994,"Kenya"
"Pelagic","4",1814.54825864,"Kenya"
"Reef","5",1792.8828692,"Kenya"
"Reef","2",592.45903728,"Kenya"
"Reef","1",1023.9453422,"Kenya"
"Reef","4",4928.53040592,"Kenya"
"Antsiranana","1",1234.89183,"Madagascar"
"Antsiranana","2",8433.360485,"Madagascar"
"Fianarantsoa","1",160.117059,"Madagascar"
"Fianarantsoa","2",1573.57703833333,"Madagascar"
"Mahajanga","1",1105.06667,"Madagascar"
"Mahajanga","2",18679.6091,"Madagascar"
"Toamasina","1",1584.80661666667,"Madagascar"
"Toamasina","2",916.0549375,"Madagascar"
"Toliara","1",6323.216165,"Madagascar"
"Toliara","2",26801.5032041667,"Madagascar"
"Male","1",148817.602,"Philippines"
"Male","4",776269.719,"Philippines"
"Male","5",10431.396,"Philippines"
"Female","1",182432.708,"Philippines"
"Female","4",77764.226,"Philippines"
"Female","5",1044.984,"Philippines"
